Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes        

"1","FP","FP",,,"Portfolio","RON",,,,,,,,,,
"2","FP","FP",,,"Portfolio","RON","1525","1.964","21.27","2022-01-09 GMT+0200","12:53:00","0","Buy",,,
"3","FP","FP",,,"Portfolio","RON","1100","1.99","14","2022-01-09 GMT+0200","14:16:00","0","Buy",,,
"4","FP","FP",,,"Portfolio","RON","5900","1.87","0","2022-01-09 GMT+0200","20:53:00","0","Buy",,,
"5","FP","FP",,,"Portfolio","RON","168","1.98","0","2022-01-09 GMT+0200","20:54:00","0","Buy",,,
"6","FP","FP",,,"Portfolio","RON","952","2.11","0","2022-01-09 GMT+0200","20:55:00","0","Buy",,,
"7","FP","FP",,,"Portfolio","RON","53","2.075","0","2022-01-09 GMT+0200","21:16:00","0","Buy",,,
"8","FP","FP",,,"Portfolio","RON","827","2.075","0","2022-01-09 GMT+0200","21:16:00","0","Buy",,,
"9","FP","FP",,,"Portfolio","RON","1000","1.988","0","2022-01-09 GMT+0200","21:17:00","0","Buy",,,
"10","FP","FP",,,"Portfolio","RON","1600","2.06","0","2022-01-09 GMT+0200","21:20:00","0","Buy",,,
"11","FP","FP",,,"Portfolio","RON","336","0","0","2022-02-13 GMT+0200","21:44:00","1","Dividend","FIFO",,
"12","FP","FP",,,"Portfolio","RON","938.5","0","0","2022-06-27 GMT+0300","21:46:00","1","Dividend","FIFO",,
"13","FP","FP",,,"Portfolio","RON","1700","1.758","21.22","2022-10-10 GMT+0300","11:46:00","0","Buy",,,
        
"14","AAPL","Apple Inc.",,"NMS","Portfolio","USD",,,,,,,,,,
"15","AAPL","Apple Inc.",,"NMS","Portfolio","USD","7.83","141.08","0","2022-01-09 GMT+0200","20:30:00","4.15","Buy",,,
"16","AAPL","Apple Inc.",,"NMS","Portfolio","USD","1.55","0","0","2022-02-15 GMT+0200","23:00:00","0","Dividend","FIFO",,
"17","AAPL","Apple Inc.",,"NMS","Portfolio","USD","1.65","0","0","2022-05-16 GMT+0300","23:01:00","0","Dividend","FIFO",,
        
"18","SPGI","S&P Global Inc.",,"NYQ","Portfolio","USD",,,,,,,,,,
