Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total (RON),ID,Currency conversion fee (RON)
Market buy,2022-04-01 12:02:57,US6544453037,NTDOY,"Nintendo",0.3378750000,66.00,USD,0.22333,100.00,EOF1856703886,0.15
Market buy,2022-04-01 13:30:05,US81141R1005,SE,"Sea Limited",0.0914203000,121.94,USD,0.22331,49.99,EOF1856707574,0.07
Market buy,2022-04-01 13:30:10,US91332U1016,U,"Unity Software",0.2252310000,99.00,USD,0.22331,100.00,EOF1856708892,0.15
Market buy,2022-04-01 13:30:11,US92921W3007,VUZI,"Vuzix",1.6539700000,6.74,USD,0.22331,49.99,EOF1856709388,0.07
Market buy,2022-04-01 13:30:12,US67066G1040,NVDA,"Nvidia",0.0814297000,273.83,USD,0.22331,100.00,EOF1856709739,0.15
Market buy,2022-04-01 13:30:12,US5770961002,MTTR,"Matterport",2.4682500000,8.13,USD,0.22331,89.99,EOF1856709616,0.13
Market buy,2022-04-01 13:30:12,US0079031078,AMD,"Advanced Micro Devices",0.1008759000,110.51,USD,0.22331,49.99,EOF1856709957,0.07
Market buy,2022-04-01 13:30:13,US30303M1027,META,"Meta Platforms",0.0993397000,224.46,USD,0.22331,100.00,EOF1856710355,0.15
Market buy,2022-04-01 13:30:14,US31188V1008,FSLY,"Fastly",1.2326090000,18.09,USD,0.22331,100.00,EOF1856710840,0.15
Market buy,2022-04-01 13:30:15,US4525211078,IMMR,"Immersion",3.6026700000,5.57,USD,0.22331,89.99,EOF1856710984,0.13
Market buy,2022-04-01 13:32:29,US7710491033,RBLX,"Roblox",0.4749280000,46.95,USD,0.22331,100.00,EOF1856714028,0.15
Market buy,2022-04-01 13:32:43,US29076N2062,EMAN,"eMagin",13.1154600000,1.19,USD,0.22331,69.99,EOF1856714359,0.10
Market buy,2022-05-02 12:38:56,US6544453037,NTDOY,"Nintendo",0.3690460000,57.50,USD,0.21252,100.00,EOF1893168601,0.15
Market buy,2022-05-02 13:30:07,US81141R1005,SE,"Sea Limited",0.1295440000,81.80,USD,0.21227,49.99,EOF1893171424,0.07
Market buy,2022-05-02 13:30:13,US92921W3007,VUZI,"Vuzix",2.0261300000,5.23,USD,0.21227,49.99,EOF1893172731,0.07
Market buy,2022-05-02 13:30:17,US30303M1027,META,"Meta Platforms",0.1052146000,201.45,USD,0.21227,100.00,EOF1893173781,0.15
Market buy,2022-05-02 13:30:19,US0079031078,AMD,"Advanced Micro Devices",0.1234030000,85.87,USD,0.21227,49.99,EOF1893174599,0.07
Market buy,2022-05-02 13:30:20,US31188V1008,FSLY,"Fastly",1.3406380000,15.81,USD,0.21227,100.00,EOF1893175260,0.15
Market buy,2022-05-02 13:30:21,US91332U1016,U,"Unity Software",0.3211920000,65.99,USD,0.21227,100.00,EOF1893175376,0.15
Market buy,2022-05-02 13:30:22,US4525211078,IMMR,"Immersion",4.0933200000,4.66,USD,0.21227,89.99,EOF1893175873,0.13
Market buy,2022-05-02 13:30:22,US5770961002,MTTR,"Matterport",3.3347700000,5.72,USD,0.21227,89.99,EOF1893176434,0.13
Market buy,2022-05-02 13:30:24,US7710491033,RBLX,"Roblox",0.6995210000,30.30,USD,0.21227,100.00,EOF1893177043,0.15
Market buy,2022-05-02 13:30:26,US67066G1040,NVDA,"Nvidia",0.1138808000,186.12,USD,0.21227,100.00,EOF1893178438,0.15
Market buy,2022-05-02 13:34:21,US29076N2062,EMAN,"eMagin",16.2122000000,0.92,USD,0.21227,69.99,EOF1893181815,0.10
Market buy,2022-05-03 07:01:20,IE00B3XXRP09,VUSD,"Vanguard S&P 500 (Dist)",4.8890220000,78.90,USD,0.21226,1819.89,EOF1894241069,2.73
Market buy,2022-05-03 07:01:38,IE00B3XXRP09,VUSD,"Vanguard S&P 500 (Dist)",5.8580150000,78.88,USD,0.21226,2180.11,EOF1894241138,3.27
Market buy,2022-06-08 13:30:08,US30303M1027,META,"Meta Platforms",1.1139718000,194.62,USD,0.21712,1000.00,EOF1939613370,1.50
Market buy,2022-09-06 13:30:50,US0846707026,BRK.B,"Berkshire Hathaway",2.2103582000,279.13,USD,0.20439,3023.03,EOF2041547526,4.53
Market buy,2022-10-10 14:23:16,US0846707026,BRK.B,"Berkshire Hathaway",2.1951837000,268.09,USD,0.19646,2999.99,EOF2086914569,4.49
Market buy,2022-11-01 16:27:27,US0846707026,BRK.B,"Berkshire Hathaway",1.3730684000,294.55,USD,0.20105,2014.57,EOF2119953722,3.02
